,ID,CooX,CooY,CooZ,Date,Value
1588,Monturaqui,557103.126,7307450.25499999,3430.0,1977-10-31,9.8
1684,Peine,595137.0,7380682.0,2460.0,1977-10-31,18.0
1996,San_Pedro,581987.0,7466178.0,2450.0,1977-10-31,17.9
2158,Socaire,613092.0,7390963.0,3251.0,1977-10-31,12.1
51,Caspana,581126.0,7529664.0,3260.0,1977-11-30,12.1
1589,Monturaqui,557103.126,7307450.25499999,3430.0,1977-11-30,11.3
1685,Peine,595137.0,7380682.0,2460.0,1977-11-30,19.7
1997,San_Pedro,581987.0,7466178.0,2450.0,1977-11-30,20.4
2159,Socaire,613092.0,7390963.0,3251.0,1977-11-30,12.6
52,Caspana,581126.0,7529664.0,3260.0,1977-12-31,13.1
1590,Monturaqui,557103.126,7307450.25499999,3430.0,1977-12-31,12.8
1686,Peine,595137.0,7380682.0,2460.0,1977-12-31,20.2
1998,San_Pedro,581987.0,7466178.0,2450.0,1977-12-31,20.3
2160,Socaire,613092.0,7390963.0,3251.0,1977-12-31,14.2
53,Caspana,581126.0,7529664.0,3260.0,1978-01-31,12.5
1591,Monturaqui,557103.126,7307450.25499999,3430.0,1978-01-31,12.2
1687,Peine,595137.0,7380682.0,2460.0,1978-01-31,20.1
1999,San_Pedro,581987.0,7466178.0,2450.0,1978-01-31,19.6
2161,Socaire,613092.0,7390963.0,3251.0,1978-01-31,12.8
54,Caspana,581126.0,7529664.0,3260.0,1978-02-28,13.1
1592,Monturaqui,557103.126,7307450.25499999,3430.0,1978-02-28,12.0
1688,Peine,595137.0,7380682.0,2460.0,1978-02-28,19.6
2000,San_Pedro,581987.0,7466178.0,2450.0,1978-02-28,20.5
2162,Socaire,613092.0,7390963.0,3251.0,1978-02-28,13.4
55,Caspana,581126.0,7529664.0,3260.0,1978-03-31,12.0
1593,Monturaqui,557103.126,7307450.25499999,3430.0,1978-03-31,11.4
1689,Peine,595137.0,7380682.0,2460.0,1978-03-31,18.5
2001,San_Pedro,581987.0,7466178.0,2450.0,1978-03-31,18.3
2163,Socaire,613092.0,7390963.0,3251.0,1978-03-31,12.3
56,Caspana,581126.0,7529664.0,3260.0,1978-04-30,10.2
1594,Monturaqui,557103.126,7307450.25499999,3430.0,1978-04-30,8.4
1690,Peine,595137.0,7380682.0,2460.0,1978-04-30,15.4
2002,San_Pedro,581987.0,7466178.0,2450.0,1978-04-30,15.4
2164,Socaire,613092.0,7390963.0,3251.0,1978-04-30,9.7
57,Caspana,581126.0,7529664.0,3260.0,1978-05-31,8.8
